bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1744855,2035,HB601,1,Introduced,2023-03-21,"In school health services, providing for possession and use of opioid antagonists.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in school health services, providing for possession and use of opioid antagonists.",1809,"House Health",2023-03-21,"Referred to HEALTH",https://legiscan.com/PA/bill/HB601/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=601
1744922,2035,HB602,1,Introduced,2023-03-21,"Providing for reporting requirements of interactive computer service providers; and imposing penalties.","An Act amending the act of April 14, 1972 (P.L.233, No.64), known as The Controlled Substance, Drug, Device and Cosmetic Act, providing for reporting requirements of interactive computer service providers; and imposing penalties.",53,"House Judiciary",2023-03-21,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB602/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=602
1744810,2035,HB603,1,Introduced,2023-03-21,"In preliminary provisions, further providing for definitions and providing for disaster emergency declaration and for testing requirement, duty to report and public access; in powers and duties, further providing for powers and duties of department; and, in liability and settlement procedures, further providing for responsible person.","An Act amending the act of October 18, 1988 (P.L.756, No.108), known as the Hazardous Sites Cleanup Act, in preliminary provisions, further providing for definitions and providing for disaster emergency declaration and for testing requirement, duty to report and public access; in powers and duties, further providing for powers and duties of department; and, in liability and settlement procedures, further providing for responsible person.",45,"House Environmental Resources & Energy",2023-03-21,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY",https://legiscan.com/PA/bill/HB603/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=603
1744791,2035,HB604,1,Introduced,2023-03-21,"Providing for maximum contaminant levels.","An Act amending the act of May 1, 1984 (P.L.206, No.43), known as the Pennsylvania Safe Drinking Water Act, providing for maximum contaminant levels.",45,"House Environmental Resources & Energy",2023-03-21,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY",https://legiscan.com/PA/bill/HB604/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=604
1744938,2035,HB605,1,Introduced,2023-03-21,"Providing for public health; imposing duties on the Department of Environmental Protection relating to lead levels in soil; and imposing penalties.","An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, providing for public health; imposing duties on the Department of Environmental Protection relating to lead levels in soil; and imposing penalties.",45,"House Environmental Resources & Energy",2023-03-21,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY",https://legiscan.com/PA/bill/HB605/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=605
1744734,2035,HB606,1,Introduced,2023-03-21,"Providing for lead abatement assistance; establishing the Lead Abatement Grant Program and the Lead Abatement Assistance Fund; and imposing an architectural paint surcharge.","An Act amending Title 27 (Environmental Resources) of the Pennsylvania Consolidated Statutes, providing for lead abatement assistance; establishing the Lead Abatement Grant Program and the Lead Abatement Assistance Fund; and imposing an architectural paint surcharge.",45,"House Environmental Resources & Energy",2023-03-21,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY",https://legiscan.com/PA/bill/HB606/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=606
1744739,2035,HB607,1,Introduced,2023-03-21,"In riot, disorderly conduct and related offenses, providing for concurrent jurisdiction to prosecute.","An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in riot, disorderly conduct and related offenses, providing for concurrent jurisdiction to prosecute.",53,"House Judiciary",2023-03-21,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB607/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=607
1744894,2035,HB608,1,Introduced,2023-03-21,"Protecting workers from training repayment agreement provisions; conferring powers and imposing duties on the Department of Labor and Industry; and imposing penalties.","An Act protecting workers from training repayment agreement provisions; conferring powers and imposing duties on the Department of Labor and Industry; and imposing penalties.",1790,"House Labor And Industry",2023-03-21,"Referred to LABOR AND INDUSTRY",https://legiscan.com/PA/bill/HB608/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=608
1744910,2035,HB609,1,Introduced,2023-03-21,"In birth registration, providing for certain information prohibited related to birth registration.","An Act amending the act of June 29, 1953 (P.L.304, No.66), known as the Vital Statistics Law of 1953, in birth registration, providing for certain information prohibited related to birth registration.",1809,"House Health",2023-03-21,"Referred to HEALTH",https://legiscan.com/PA/bill/HB609/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=609
1744867,2035,HB610,1,Introduced,2023-03-21,"In judicial change of name, further providing for court approval required for change of name.","An Act amending Title 54 (Names) of the Pennsylvania Consolidated Statutes, in judicial change of name, further providing for court approval required for change of name.",53,"House Judiciary",2023-03-21,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB610/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=610
1760601,2035,HB611,4,Passed,2023-08-03,"To provide appropriations from the General Fund for the expenses of the Executive, Legislative and Judicial Departments of the Commonwealth, the public debt and the public schools for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023; to provide appropriations from special funds and accounts to the Executive and Judicial Departments for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills remaining unpaid at the close of the fiscal year ending June 30, 2023; to provide for the appropriation of Federal funds to the Executive and Judicial Departments for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills remaining unpaid at the close of the fiscal year ending June 30, 2023; and to provide for the additional appropriation of Federal and State funds to the Executive and Legislative Departments for the fiscal year July 1, 2022, to June 30, 2023, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2022.","An Act to provide appropriations from the General Fund for the expenses of the Executive, Legislative and Judicial Departments of the Commonwealth, the public debt and the public schools for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023; to provide appropriations from special funds and accounts to the Executive and Judicial Departments for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills remaining unpaid at the close of the fiscal year ending June 30, 2023; to provide for the appropriation of Federal funds to the Executive and Judicial Departments for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills remaining unpaid at the close of the fiscal year ending June 30, 2023; and to provide for the additional appropriation of Federal and State funds to the Executive and Legislative Departments for the fiscal year July 1, 2022, to June 30, 2023, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2022.",58,"House Rules",2023-09-22,"Referred to RULES",https://legiscan.com/PA/bill/HB611/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=611
1760608,2035,HB612,2,Engrossed,2023-10-31,"Providing for funding for State-related universities for the fiscal year beginning July 1, 2023, and ending June 30, 2024, for costs basis, for frequency of payments and for recordkeeping requirements; imposing a duty on the Auditor General; providing for financial statements and for the Agricultural College Land Scrip Fund; and making appropriations.","An Act providing for funding for State-related universities for the fiscal year beginning July 1, 2023, and ending June 30, 2024, for costs basis, for frequency of payments and for recordkeeping requirements; imposing a duty on the Auditor General; providing for financial statements and for the Agricultural College Land Scrip Fund; and making appropriations.",66,"Senate Appropriations",2023-11-21,"Referred to APPROPRIATIONS",https://legiscan.com/PA/bill/HB612/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=612
1760587,2035,HB613,4,Passed,2024-07-11,"Providing for funding for certain State-aided universities for","An Act providing for funding for certain State-aided universities for",0,,2024-07-11,"Act No. 11A of 2024",https://legiscan.com/PA/bill/HB613/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=613
1760560,2035,HB614,4,Passed,2023-07-11,"Making appropriations from the Professional Licensure Augmentation Account and from restricted revenue accounts within the General Fund to the Department of State for use by the Bureau of Professional and Occupational Affairs in support of the professional licensure boards assigned thereto.","An Act making appropriations from the Professional Licensure Augmentation Account and from restricted revenue accounts within the General Fund to the Department of State for use by the Bureau of Professional and Occupational Affairs in support of the professional licensure boards assigned thereto.",0,,2023-07-11,"Act No. 2A of 2023",https://legiscan.com/PA/bill/HB614/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=614
1760573,2035,HB615,4,Passed,2023-07-11,"Making appropriations from the Workmen's Compensation Administration Fund to the Department of Labor and Industry and the Department of Community and Economic Development to provide for the expenses of administering the Workers' Compensation Act, The Pennsylvania Occupational Disease Act and the Office of Small Business Advocate for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023.","An Act making appropriations from the Workmen's Compensation Administration Fund to the Department of Labor and Industry and the Department of Community and Economic Development to provide for the expenses of administering the Workers' Compensation Act, The Pennsylvania Occupational Disease Act and the Office of Small Business Advocate for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023.",0,,2023-07-11,"Act No. 3A of 2023",https://legiscan.com/PA/bill/HB615/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=615
1760548,2035,HB616,4,Passed,2023-07-11,"Making an appropriation from a restricted revenue account within the General Fund to the Office of Small Business Advocate in the Department of Community and Economic Development.","An Act making an appropriation from a restricted revenue account within the General Fund to the Office of Small Business Advocate in the Department of Community and Economic Development.",0,,2023-07-11,"Act No. 4A of 2023",https://legiscan.com/PA/bill/HB616/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=616
1760613,2035,HB617,4,Passed,2023-07-11,"Making an appropriation from a restricted revenue account within the General Fund to the Office of Consumer Advocate in the Office of Attorney General.","An Act making an appropriation from a restricted revenue account within the General Fund to the Office of Consumer Advocate in the Office of Attorney General.",0,,2023-07-11,"Act No. 5A of 2023",https://legiscan.com/PA/bill/HB617/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=617
1760618,2035,HB618,4,Passed,2023-07-11,"Making appropriations from the Public School Employees' Retirement Fund and from the PSERS Defined Contribution Fund to provide for expenses of the Public School Employees' Retirement Board for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023.","An Act making appropriations from the Public School Employees' Retirement Fund and from the PSERS Defined Contribution Fund to provide for expenses of the Public School Employees' Retirement Board for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023.",0,,2023-07-11,"Act No. 6A of 2023",https://legiscan.com/PA/bill/HB618/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=618
1760570,2035,HB619,4,Passed,2023-07-11,"Making appropriations from the State Employees' Retirement Fund and from the SERS Defined Contribution Fund to provide for expenses of the State Employees' Retirement Board for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023.","An Act making appropriations from the State Employees' Retirement Fund and from the SERS Defined Contribution Fund to provide for expenses of the State Employees' Retirement Board for the fiscal year July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023.",0,,2023-07-11,"Act No. 7A of 2023",https://legiscan.com/PA/bill/HB619/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=619
1760584,2035,HB620,4,Passed,2023-07-11,"Making appropriations from the Philadelphia Taxicab and Limousine Regulatory Fund and the Philadelphia Taxicab Medallion Fund to the Philadelphia Parking Authority for the fiscal year July 1, 2023, to June 30, 2024.","An Act making appropriations from the Philadelphia Taxicab and Limousine Regulatory Fund and the Philadelphia Taxicab Medallion Fund to the Philadelphia Parking Authority for the fiscal year July 1, 2023, to June 30, 2024.",0,,2023-07-11,"Act No. 8A of 2023",https://legiscan.com/PA/bill/HB620/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=620
1760617,2035,HB621,4,Passed,2023-07-11,"Making appropriations from a restricted revenue account within the General Fund and from Federal augmentation funds to the Pennsylvania Public Utility Commission for the fiscal year July 1, 2023, to June 30, 2024.","An Act making appropriations from a restricted revenue account within the General Fund and from Federal augmentation funds to the Pennsylvania Public Utility Commission for the fiscal year July 1, 2023, to June 30, 2024.",0,,2023-07-11,"Act No. 9A of 2023",https://legiscan.com/PA/bill/HB621/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=621
1760545,2035,HB622,4,Passed,2023-07-11,"Making appropriations from the restricted revenue accounts within the State Gaming Fund and from the restricted revenue accounts within the Fantasy Contest Fund and Video Gaming Fund to the Attorney General, the Department of Revenue, the Pennsylvania State Police and the Pennsylvania Gaming Control Board for the fiscal year beginning July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023.","An Act making appropriations from the restricted revenue accounts within the State Gaming Fund and from the restricted revenue accounts within the Fantasy Contest Fund and Video Gaming Fund to the Attorney General, the Department of Revenue, the Pennsylvania State Police and the Pennsylvania Gaming Control Board for the fiscal year beginning July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023.",0,,2023-07-11,"Act No. 10A of 2023",https://legiscan.com/PA/bill/HB622/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=622
1760552,2035,HB623,4,Passed,2023-11-13,"Providing for the capital budget for fiscal year 2023-2024.","An Act providing for the capital budget for fiscal year 2023-2024.",0,,2023-11-13,"Act No. 28 of 2023",https://legiscan.com/PA/bill/HB623/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=623
1760598,2035,HB624,1,Introduced,2023-05-02,"Providing for the capital budget for fiscal year 2023-2024; itemizing public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs; authorizing the incurring of debt without the approval of the electors for the purpose of financing the projects to be constructed, acquired or assisted by the Department of General Services and other State agencies; authorizing the use of current revenue for the purpose of financing the projects to be constructed, acquired or assisted by the Department of General Services and other State agencies stating the estimated useful life of the projects; and making appropriations.","An Act providing for the capital budget for fiscal year 2023-2024; itemizing public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs; authorizing the incurring of debt without the approval of the electors for the purpose of financing the projects to be constructed, acquired or assisted by the Department of General Services and other State agencies; authorizing the use of current revenue for the purpose of financing the projects to be constructed, acquired or assisted by the Department of General Services and other State agencies stating the estimated useful life of the projects; and making appropriations.",39,"House Appropriations",2023-05-02,"Referred to APPROPRIATIONS",https://legiscan.com/PA/bill/HB624/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=624
1777129,2035,HB626,1,Introduced,2023-08-30,"In rates and distribution systems, further providing for valuation of acquired water and wastewater systems.","An Act amending Title 66 (Public Utilities) of the Pennsylvania Consolidated Statutes, in rates and distribution systems, further providing for valuation of acquired water and wastewater systems.",4867,"House Consumer Protection, Technology and Utilities",2023-08-30,"Referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES",https://legiscan.com/PA/bill/HB626/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=626
1777133,2035,HB627,1,Introduced,2023-08-30,"In rates and distribution systems, repealing provisions relating to valuation of acquired water and wastewater systems.","An Act amending Title 66 (Public Utilities) of the Pennsylvania Consolidated Statutes, in rates and distribution systems, repealing provisions relating to valuation of acquired water and wastewater systems.",4867,"House Consumer Protection, Technology and Utilities",2023-08-30,"Referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES",https://legiscan.com/PA/bill/HB627/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=627
1777132,2035,HB628,1,Introduced,2023-08-30,"In rates and distribution systems, further providing for valuation of acquired water and wastewater systems.","An Act amending Title 66 (Public Utilities) of the Pennsylvania Consolidated Statutes, in rates and distribution systems, further providing for valuation of acquired water and wastewater systems.",4867,"House Consumer Protection, Technology and Utilities",2023-08-30,"Referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES",https://legiscan.com/PA/bill/HB628/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=628
1777136,2035,HB629,1,Introduced,2023-08-30,"In rates and distribution systems, further providing for valuation of acquired water and wastewater systems.","An Act amending Title 66 (Public Utilities) of the Pennsylvania Consolidated Statutes, in rates and distribution systems, further providing for valuation of acquired water and wastewater systems.",4867,"House Consumer Protection, Technology and Utilities",2023-08-30,"Referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES",https://legiscan.com/PA/bill/HB629/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=629
1780687,2035,HB630,1,Introduced,2023-10-17,"Providing for certified chiropractic assistants; in supportive personnel, further providing for supportive personnel; and making an editorial change.","An Act amending the act of December 16, 1986 (P.L.1646, No.188), known as the Chiropractic Practice Act, providing for certified chiropractic assistants; in supportive personnel, further providing for supportive personnel; and making an editorial change.",57,"House Professional Licensure",2023-10-17,"Referred to PROFESSIONAL LICENSURE",https://legiscan.com/PA/bill/HB630/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=630
1744876,2035,HB636,2,Engrossed,2023-10-18,"Further providing for definitions and for unlawful acts or practices and exclusions.","An Act amending the act of December 17, 1968 (P.L.1224, No.387), known as the Unfair Trade Practices and Consumer Protection Law, further providing for definitions and for unlawful acts or practices and exclusions.",71,"Senate Consumer Protection & Professional Licensure",2023-10-19,"Referred to CONSUMER PROTECTION AND PROFESSIONAL LICENSURE",https://legiscan.com/PA/bill/HB636/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=636
1744862,2035,HB637,1,Introduced,2023-03-21,"In general provisions relating to offenses involving danger to the person, further providing for definitions.","An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in general provisions relating to offenses involving danger to the person, further providing for definitions.",0,,2023-10-18,"Laid on the table",https://legiscan.com/PA/bill/HB637/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=637
1744817,2035,HB638,1,Introduced,2023-03-21,"Establishing the Compassionate Name Change Assistance Grant Program and the Compassionate Name Change Assistance Grant Fund; and making an interfund transfer.","An Act amending Title 54 (Names) of the Pennsylvania Consolidated Statutes, establishing the Compassionate Name Change Assistance Grant Program and the Compassionate Name Change Assistance Grant Fund; and making an interfund transfer.",53,"House Judiciary",2023-03-21,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB638/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=638
1744761,2035,HB639,1,Introduced,2023-03-21,"In terms and courses of study, providing for litterbug education.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in terms and courses of study, providing for litterbug education.",44,"House Education",2023-03-21,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB639/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=639
1744788,2035,HB640,1,Introduced,2023-03-21,"In professional employees, providing for professional librarian.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in professional employees, providing for professional librarian.",44,"House Education",2023-03-21,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB640/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=640
1744885,2035,HB641,1,Introduced,2023-03-21,"Providing for the protection of patients and medical personnel from health care facility retaliation, for prohibitions, for rebuttable presumptions, for discriminatory treatment, for evidence, for civil penalties and remedies, for criminal penalty, for restitution and damages, for injunctive relief, for peer review activity and for exemption.","An Act providing for the protection of patients and medical personnel from health care facility retaliation, for prohibitions, for rebuttable presumptions, for discriminatory treatment, for evidence, for civil penalties and remedies, for criminal penalty, for restitution and damages, for injunctive relief, for peer review activity and for exemption.",1809,"House Health",2023-03-21,"Referred to HEALTH",https://legiscan.com/PA/bill/HB641/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=641
1744755,2035,HB642,1,Introduced,2023-03-21,"In revenues, further providing for transfers from State Gaming Fund.","An Act amending Title 4 (Amusements) of the Pennsylvania Consolidated Statutes, in revenues, further providing for transfers from State Gaming Fund.",49,"House Gaming Oversight",2023-03-21,"Referred to GAMING OVERSIGHT",https://legiscan.com/PA/bill/HB642/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=642
1744827,2035,HB643,1,Introduced,2023-03-21,"In residential real property, providing for individual dwelling unit water metering.","An Act amending Title 68 (Real and Personal Property) of the Pennsylvania Consolidated Statutes, in residential real property, providing for individual dwelling unit water metering.",4867,"House Consumer Protection, Technology and Utilities",2023-04-21,"Re-referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES",https://legiscan.com/PA/bill/HB643/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=643
1744933,2035,HB644,1,Introduced,2023-03-21,"In inchoate crimes, providing for the offense of possession of firearm or other dangerous weapon in public recreation area.","An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in inchoate crimes, providing for the offense of possession of firearm or other dangerous weapon in public recreation area.",53,"House Judiciary",2023-03-21,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB644/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=644
1744927,2035,HB645,1,Introduced,2023-03-21,"In terms and courses of study, providing for bullying prevention education.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in terms and courses of study, providing for bullying prevention education.",44,"House Education",2023-03-21,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB645/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=645
1744823,2035,HB646,1,Introduced,2023-03-21,"Prohibiting certain covenants not to compete; conferring powers and duties on the Department of Labor and Industry; and imposing penalties.","An Act prohibiting certain covenants not to compete; conferring powers and duties on the Department of Labor and Industry; and imposing penalties.",1790,"House Labor And Industry",2023-03-21,"Referred to LABOR AND INDUSTRY",https://legiscan.com/PA/bill/HB646/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=646
1744918,2035,HB647,1,Introduced,2023-03-21,"Establishing the Safe Schools Partnership; conferring powers and imposing duties on the Attorney General and the Secretary of Education; providing for a bullying identification, prevention and intervention model plan; and imposing duties on schools and school districts.","An Act establishing the Safe Schools Partnership; conferring powers and imposing duties on the Attorney General and the Secretary of Education; providing for a bullying identification, prevention and intervention model plan; and imposing duties on schools and school districts.",44,"House Education",2023-03-21,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB647/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=647
1744843,2035,HB648,1,Introduced,2023-03-21,"Providing for the Office of Health Equity; establishing the Health Equity Advisory Committee; and imposing duties on the Department of Health.","An Act providing for the Office of Health Equity; establishing the Health Equity Advisory Committee; and imposing duties on the Department of Health.",1809,"House Health",2023-03-21,"Referred to HEALTH",https://legiscan.com/PA/bill/HB648/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=648
1744800,2035,HB649,1,Introduced,2023-03-21,"In safe schools, providing for parental notification of certain incidents.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in safe schools, providing for parental notification of certain incidents.",44,"House Education",2023-03-21,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB649/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=649
1744900,2035,HB650,1,Introduced,2023-03-21,"Providing for parental leave for school-related activities.","An Act providing for parental leave for school-related activities.",1790,"House Labor And Industry",2023-03-21,"Referred to LABOR AND INDUSTRY",https://legiscan.com/PA/bill/HB650/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=650
1744742,2035,HB651,2,Engrossed,2024-04-08,"Providing for the designation of the lawn of the Speaker K. Leroy Irvis Office Building within the Pennsylvania State Capitol Complex in Harrisburg as the ""Irvis Equality Circle.""","An Act providing for the designation of the lawn of the Speaker K. Leroy Irvis Office Building within the Pennsylvania State Capitol Complex in Harrisburg as the ""Irvis Equality Circle.""",84,"Senate State Government",2024-04-22,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB651/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=651
1744891,2035,HB652,1,Introduced,2023-03-21,"Providing for issuance of permits in environmental justice areas.","An Act amending Title 27 (Environmental Resources) of the Pennsylvania Consolidated Statutes, providing for issuance of permits in environmental justice areas.",58,"House Rules",2023-09-22,"Re-committed to RULES",https://legiscan.com/PA/bill/HB652/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=652
1744776,2035,HB653,1,Introduced,2023-03-21,"In tax credit and tax benefit administration, further providing for definitions; and providing for tax credits for rehabilitation and reconstruction of certain factory and mill buildings and for a business tax credit.","An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in tax credit and tax benefit administration, further providing for definitions; and providing for tax credits for rehabilitation and reconstruction of certain factory and mill buildings and for a business tax credit.",39,"House Appropriations",2024-10-22,"Re-committed to APPROPRIATIONS",https://legiscan.com/PA/bill/HB653/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=653
